prefix,supplier,domain,product_count,test_sku,test_title,test_mpn,search_method,status,has_content,url_found,verdict,reason
RH,Educational Vantage,www.teaching.com.au,18,RHWS171AS4,Nyda Airflow Softball Set of 4,WS171AS4,name,cached,False,https://www.teaching.com.au/product/a4-double-sided-magnetic,MARGINAL,Status: cached
DU,Durasales,www.durasales.com.au,12,DUMN1604/72,Duracell MN1604 Coppertop Alkaline 9V Ba,MN1604/72,name,no_config,False,,WON'T WORK,No search config configured
CC,Campbells Cash & Carry,www.campbells.com.au,11,CC967090,CADBURY CAFE BLEND DRINKING CHOCOLATE 1.,967090,name,no_config,False,,MARGINAL,Multi-brand - needs brand-specific routing
PE,,www.pentel.com.au,9,PEN50-D,Pentel N50 Permanent Marker Bullet Point,N50-D,name,cached,True,https://www.pentel.com.au/product-page/pen-permanent-marker-,WORKS,"Search finds products, selectors work"
ST,,www.stylustapes.com.au,8,ST0894,PP99 ACRYLIC PACKAGING TAPE CLEAR 48MMX7,ST0894,name,no_config,False,,WON'T WORK,No search config configured
GG,,au.whogivesacrap.org,4,GGWGACDL48,Who Gives a Crap Recycled Toilet Paper C,WGACDL48,name,cached,True,https://au.whogivesacrap.org/products/the-splash-limited-edi,WORKS,"Search finds products, selectors work"
ZA,Educational Vantage,www.teaching.com.au,4,ZAWP064,Creative School Supply Surfboard with St,WP064,name,cached,False,https://www.teaching.com.au/product/a4-double-sided-magnetic,MARGINAL,Status: cached
BF,,diy.bostik.com,3,BF371351,Bostik Blu Tack Multi Purpose Adhesive 7,371351,name,no_config,False,,WON'T WORK,No search config configured
KP,,www.jshayes.com.au,2,KP7230,Hamilton Active Family SPF50+ Sunscreen ,7230,name,cached,False,https://www.jshayes.com.au/products/paper-products,MARGINAL,Status: cached
EC,Educational Vantage,www.teaching.com.au,2,ECCS2JB2L,EC CLASSROOM SPLASH 2LT JELLY BELLY BLUE,CS2JB,name,cached,False,https://www.teaching.com.au/product/a4-double-sided-magnetic,MARGINAL,Status: cached
JH,,www.jshayes.com.au,1,JH0477829,Tork Black Cocktail Napkin Pack of 200 C,477829,name,cached,False,https://www.jshayes.com.au/products/paper-products,MARGINAL,Status: cached
